weight,shift,common_reference_macro,geometry_gain_vs_shift,interval95_low,interval95_high
normalized,0,0.9975763342905909,0.0,0.0,0.0
normalized,1,0.9978348708673659,0.025940225495077462,0.015868142985279145,0.03750592742814526
normalized,2,0.9981099534713113,0.05350912204459083,0.03537041892417272,0.07299578431441583
normalized,3,0.9983440233524358,0.07694398510711502,0.050616282876499226,0.10506374286009648
normalized,4,0.9984967989755532,0.09223342043609788,0.05934985456405713,0.1273492627153944
normalized,5,0.9986097290778778,0.1035434576889982,0.06657297756487097,0.1433827838581488
normalized,6,0.9987443525085933,0.11701749609583922,0.076403084666919,0.16169502016072543
normalized,7,0.9988840421533413,0.1309886936324972,0.0848105884110706,0.18081643707131248
normalized,8,0.999073246695852,0.14990279381605076,0.09953575663031258,0.20240775530879995
normalized,9,0.999218234256105,0.16438892138521863,0.1110944002529471,0.2197743747643773
normalized,10,0.999469331541896,0.18948959643178367,0.14048156207324822,0.24479876550995455
normalized,11,0.99956632337775,0.19916713598928013,0.14943637125019915,0.25598195698381765
normalized,12,0.9995840901120988,0.20093413638565816,0.15131098001381227,0.2574536765090089
normalized,13,0.999618973147888,0.2044090497068829,0.15463346892034682,0.2610824099645282
normalized,14,0.9995604311886167,0.19854128916642713,0.1456944902989696,0.25514824374798684
normalized,15,0.9995796407821046,0.20044825131415775,0.13927526217306885,0.2629013070691506
normalized,16,0.9996786589226897,0.21035425259726126,0.15935685636458835,0.2672723025692741
normalized,17,0.999682854444062,0.21076490573531023,0.15866805319223987,0.2683112062108283
normalized,18,0.9995757042893757,0.20005035770664462,0.137304890856566,0.26216216501424716
normalized,19,0.999539445947231,0.19643715504499096,0.1309682615739648,0.2605301059030444
normalized,20,0.9995247369702492,0.19495984103436817,0.1292326408209874,0.2592634943088977
normalized,21,0.9995323366191448,0.1957206513250561,0.13448475263995965,0.25566903321984974
normalized,22,0.9995662648509204,0.19911422824939093,0.13280133259129165,0.2633027267348249
normalized,23,0.9995816338151196,0.20065449871096153,0.13383664686060973,0.2649070157186451
normalized,24,0.9995521288837423,0.19771002714099503,0.13065302614229718,0.26155245696790225
normalized,25,0.9995837569420188,0.2008622275162806,0.13238652908042647,0.26580309611871533
normalized,26,0.9995857891149819,0.20105747849751923,0.131813013527887,0.2660641881569099
normalized,27,0.9995850111908746,0.2009803480087715,0.13698000217513798,0.26191344039220316
normalized,28,0.9995996095801813,0.2024417237996188,0.14143869233263381,0.2617354132982239
normalized,29,0.9995956246145576,0.20204245951229993,0.14334911859530353,0.2593453410777047
normalized,30,0.9995951621252273,0.20199862568426966,0.14191882715682838,0.26063638946517853
normalized,31,0.9996125412950069,0.20373715235116516,0.1421675185704444,0.2636096086307259
normalized,32,0.9996020210407129,0.2026810182984969,0.1427190923047492,0.26087810815219187
normalized,33,0.9996211899930253,0.20460355366697566,0.1521503473452905,0.2584123996394562
normalized,34,0.9996529550703115,0.20778955174361458,0.15590366418714185,0.2635118674163164
normalized,35,0.9996606133010819,0.2085650922141108,0.1568937995500431,0.2647691600605312
normalized,36,0.9996507009245673,0.20756395881473175,0.15575130934248302,0.26473058812619626
normalized,37,0.9996533638029925,0.20782956030212518,0.1558620703699045,0.26506766456744413
normalized,38,0.9996372702053525,0.20622226999329288,0.1541620277636264,0.2633900225121335
normalized,39,0.9996398995865495,0.20648392152989212,0.15452192411662952,0.26333255982665194
normalized,40,0.9996378042462792,0.20627011249335545,0.15468952579609793,0.26335454871469494
normalized,41,0.9996274915410331,0.20523697111878755,0.15421018647514362,0.26184933755473944
normalized,42,0.9996006538945066,0.20256121142180525,0.1521323322590006,0.25849475383920756
normalized,43,0.9995662464512662,0.1991291669969142,0.14909359132512198,0.2543653935536959
normalized,44,0.9994916191404308,0.191679090344668,0.1426847607669364,0.24539747303645792
normalized,45,0.999367293798008,0.1792703829022598,0.1333761321695404,0.2295453826145954
normalized,46,0.9992129088922116,0.16383422444276782,0.1199952134393069,0.21181921552901148
normalized,47,0.998939751359824,0.13652714480394493,0.0966239733648108,0.18050473045905274
physical,0,0.9970390714971811,0.0,0.0,0.0
physical,1,0.9973571831493492,0.03195322608020209,0.01876429797884498,0.047606798772358426
physical,2,0.9976592097235888,0.06224674467669259,0.04187694974181691,0.08505727416667422
physical,3,0.9979684087274258,0.09322411827638877,0.06402686983727057,0.12749091208705385
physical,4,0.9981584215754943,0.11225158745205854,0.07473558790512931,0.1539469611800954
physical,5,0.9982649030775467,0.1229178629782927,0.08042913492918875,0.16966437142208113
physical,6,0.998414845111287,0.13792816916899284,0.09047346781576311,0.1894976461790349
physical,7,0.9984988663637865,0.14630468440119393,0.09384640848392777,0.20364759407051325
physical,8,0.9986628954936209,0.16267369150733957,0.10605511665593984,0.2241038312192371
physical,9,0.9988373589798752,0.18009518137021008,0.11663512495669424,0.24233043229973178
physical,10,0.9993038177249653,0.22678504651456322,0.1630141366358412,0.2889896196875205
physical,11,0.9993970284083885,0.2360760728058344,0.17127919314042175,0.29984016529932517
physical,12,0.9994216231704929,0.2385235071754227,0.17463491906686254,0.3021685638394348
physical,13,0.9994672936646256,0.24307426058065387,0.17840110828151123,0.30666607421501135
physical,14,0.999208002778346,0.21708359472754715,0.15277863533821553,0.28096147475466776
physical,15,0.9991805522498388,0.214261651315951,0.14380559781636268,0.28407402997261133
physical,16,0.999554355262502,0.2517422620347644,0.18688693087348687,0.3152114523855129
physical,17,0.9995573188526046,0.25202214469342843,0.18671726634358526,0.3161567830376627
physical,18,0.9992132984576384,0.21755625476392962,0.1476157790018418,0.28581136743636193
physical,19,0.9991375058343586,0.20997717583598752,0.1389980790793814,0.2801415125690617
physical,20,0.9991023101834072,0.20643233984490952,0.1350843997885469,0.27769877633023693
physical,21,0.9991270172682062,0.20893215747545915,0.1411564177687549,0.2765785565120055
physical,22,0.9991264884283079,0.2088666757687966,0.13773489522208135,0.28079338505934703
physical,23,0.9991609987257705,0.21233586344936253,0.14109836509597526,0.2838729904723786
physical,24,0.9991262274089049,0.20887299269605197,0.13840978175234836,0.2801295767641324
physical,25,0.9991532267563544,0.211553133238677,0.13888959985431237,0.2845865265076269
physical,26,0.9991661757062934,0.21282401797415493,0.1389019751700657,0.28640646482729687
physical,27,0.9992186238817217,0.21809205036175208,0.14835125806682092,0.28709494785948614
physical,28,0.999259573903683,0.22220681581105275,0.1549058539580576,0.28881160843269965
physical,29,0.9992479719201417,0.2210501586138299,0.15754037466413268,0.2867931566344134
physical,30,0.999267577223125,0.22301148398939005,0.15547411221362376,0.2888511497759593
physical,31,0.9992584167818429,0.2220933854926508,0.1534863033014305,0.2894732143296153
physical,32,0.9992550959332185,0.22174999836227505,0.15287287869401484,0.2883053032333306
physical,33,0.9993787845537333,0.23417582496837822,0.16981578509343295,0.2956244403240667
physical,34,0.9994713613624778,0.24345882181423437,0.17884283188423797,0.305928422978134
physical,35,0.9994855083814319,0.2448872730132797,0.18064271737470325,0.3078706699668487
physical,36,0.9994629035387989,0.24260805148425268,0.18114727307442732,0.30848128146740295
physical,37,0.9994684884229738,0.24316419653113708,0.18169781952584738,0.30889733463476116
physical,38,0.9994486851416154,0.24118514379240877,0.17956657385272473,0.307200515438201
physical,39,0.9994573416565404,0.24204960809432277,0.1803835710538941,0.3074825078570529
physical,40,0.9994223547865954,0.23854117019154095,0.17591154631300582,0.3081927278949159
physical,41,0.9994232520687398,0.238617647486671,0.17649219241332603,0.30818787696944466
physical,42,0.9993984463566946,0.23614810265433403,0.17509380032644972,0.3042934527407256
physical,43,0.9993702486863207,0.23334133596565054,0.17363457307825053,0.2975205553058363
physical,44,0.999242533847184,0.22058027689262258,0.16286575245209498,0.2834356442271604
physical,45,0.9990559679526267,0.20195542960274315,0.14830608156252043,0.2586540106623685
physical,46,0.9988792753309079,0.18428058894609153,0.13244417430989971,0.23854885256175212
physical,47,0.9986152511062464,0.1578937358617518,0.11065519888579094,0.20716661738565828
