cell,weight,gain_vs_mean47,rank_in_cell,positive_shifts_in_cell,ci_low,ci_high
ett1_15min_ot--chronos,normalized,0.06886769856345731,1,47,0.02176501709440365,0.11928037441646053
ett1_15min_ot--chronos,physical,0.057240520222046065,1,47,0.010634634041104542,0.10851451950493168
ett1_15min_ot--flowstate,normalized,0.10041545230404791,1,47,0.03002624765177098,0.17339075412393234
ett1_15min_ot--flowstate,physical,0.09188590083967219,1,47,0.028826362463355293,0.1587490894825791
loop_seattle_5min_speed--chronos,normalized,0.16997098661001298,1,47,0.11415300156022712,0.22900774157462078
loop_seattle_5min_speed--chronos,physical,0.18186367497000644,1,47,0.12779696458260686,0.23944026729225437
loop_seattle_5min_speed--flowstate,normalized,0.027679554502357817,1,47,0.003439589106833399,0.0522174582457499
loop_seattle_5min_speed--flowstate,physical,0.02446666536765063,1,47,0.0014585647447204477,0.04780568794833795
electricity_15min_load--chronos,normalized,0.2410824137097145,1,47,0.16825921695831358,0.3232918733852104
electricity_15min_load--chronos,physical,0.32009059502405846,1,47,0.20894449626403688,0.42637123824071876
electricity_15min_load--flowstate,normalized,0.13179000564491616,2,46,0.06852540875145474,0.20043644838532354
electricity_15min_load--flowstate,physical,0.12526136195720738,1,47,0.0005459390822953942,0.23370497319513733
jena_weather_10min_temperature--chronos,normalized,0.07564968516988735,1,47,-0.10847869824170242,0.23730461151466986
jena_weather_10min_temperature--chronos,physical,0.06898490912938815,1,47,-0.1063547295926498,0.2252196567664486
jena_weather_10min_temperature--flowstate,normalized,0.19356938448096273,1,47,0.1118588983815963,0.28298099274206506
jena_weather_10min_temperature--flowstate,physical,0.20771924743860914,1,47,0.11589054404530674,0.3078950636593759
ett2_15min_ot--chronos,normalized,0.5963712211421779,1,47,0.3146615183195009,0.9029430477204113
ett2_15min_ot--chronos,physical,0.7357792331749824,1,47,0.4263414401199628,1.0526797734660216
ett2_15min_ot--flowstate,normalized,0.2617490143849821,1,47,0.0947188684579861,0.4353589507211999
ett2_15min_ot--flowstate,physical,0.3009739188263305,1,47,0.09013830697829435,0.5112479475150619
solar_10min_power--chronos,normalized,0.26631677483544003,4,44,0.04561729298393797,0.5203127478265767
solar_10min_power--chronos,physical,0.33401862980965147,1,47,0.06463683368163747,0.6343353385321145
solar_10min_power--flowstate,normalized,0.02777183484686807,20,28,-0.13638623358841695,0.19164462070984628
solar_10min_power--flowstate,physical,-0.006944009079412616,28,20,-0.15779601208703364,0.18277059516648347
