cell,scoring,shift,crps
electricity_15min_load--chronos,normalized,0,0.11896748466574748
electricity_15min_load--chronos,normalized,1,0.11902732259107801
electricity_15min_load--chronos,normalized,2,0.11912159128843842
electricity_15min_load--chronos,normalized,3,0.11917159337248696
electricity_15min_load--chronos,normalized,4,0.11918245553115703
electricity_15min_load--chronos,normalized,5,0.11919869070549197
electricity_15min_load--chronos,normalized,6,0.11921669304571487
electricity_15min_load--chronos,normalized,7,0.11922013386011493
electricity_15min_load--chronos,normalized,8,0.11923491770835402
electricity_15min_load--chronos,normalized,9,0.11929767033918166
electricity_15min_load--chronos,normalized,10,0.11929800752405739
electricity_15min_load--chronos,normalized,11,0.11930286886991504
electricity_15min_load--chronos,normalized,12,0.1192995644728623
electricity_15min_load--chronos,normalized,13,0.11930355325872705
electricity_15min_load--chronos,normalized,14,0.11930324871189471
electricity_15min_load--chronos,normalized,15,0.11930537455035986
electricity_15min_load--chronos,normalized,16,0.11930413700543041
electricity_15min_load--chronos,normalized,17,0.11930442415675156
electricity_15min_load--chronos,normalized,18,0.1193050361700157
electricity_15min_load--chronos,normalized,19,0.11930483977461669
electricity_15min_load--chronos,normalized,20,0.11930104830549065
electricity_15min_load--chronos,normalized,21,0.1193021705289429
electricity_15min_load--chronos,normalized,22,0.11930091495718129
electricity_15min_load--chronos,normalized,23,0.11929912233070501
electricity_15min_load--chronos,normalized,24,0.11929547358937291
electricity_15min_load--chronos,normalized,25,0.11930077490375765
electricity_15min_load--chronos,normalized,26,0.11930401022838984
electricity_15min_load--chronos,normalized,27,0.11930094615206344
electricity_15min_load--chronos,normalized,28,0.11930164142353746
electricity_15min_load--chronos,normalized,29,0.11930623812678949
electricity_15min_load--chronos,normalized,30,0.11930730638999307
electricity_15min_load--chronos,normalized,31,0.1193079809286881
electricity_15min_load--chronos,normalized,32,0.11931209244257755
electricity_15min_load--chronos,normalized,33,0.11931457344828096
electricity_15min_load--chronos,normalized,34,0.1193158985147139
electricity_15min_load--chronos,normalized,35,0.11931946631093801
electricity_15min_load--chronos,normalized,36,0.11925511186880616
electricity_15min_load--chronos,normalized,37,0.11925637892961789
electricity_15min_load--chronos,normalized,38,0.11925168368788243
electricity_15min_load--chronos,normalized,39,0.11924920165822626
electricity_15min_load--chronos,normalized,40,0.11923888469753108
electricity_15min_load--chronos,normalized,41,0.11923260221443129
electricity_15min_load--chronos,normalized,42,0.11922329737592427
electricity_15min_load--chronos,normalized,43,0.11921159967629741
electricity_15min_load--chronos,normalized,44,0.11919024389828017
electricity_15min_load--chronos,normalized,45,0.11915783455389554
electricity_15min_load--chronos,normalized,46,0.11908557748958334
electricity_15min_load--chronos,normalized,47,0.11904021342766816
electricity_15min_load--chronos,physical,0,27.29185039081967
electricity_15min_load--chronos,physical,1,27.31480161327641
electricity_15min_load--chronos,physical,2,27.342206306336283
electricity_15min_load--chronos,physical,3,27.358276024518005
electricity_15min_load--chronos,physical,4,27.361092124140317
electricity_15min_load--chronos,physical,5,27.36620258403964
electricity_15min_load--chronos,physical,6,27.370663504456513
electricity_15min_load--chronos,physical,7,27.37130424423459
electricity_15min_load--chronos,physical,8,27.373053127263947
electricity_15min_load--chronos,physical,9,27.396101804978965
electricity_15min_load--chronos,physical,10,27.39856182474923
electricity_15min_load--chronos,physical,11,27.398652591457058
electricity_15min_load--chronos,physical,12,27.39553857198883
electricity_15min_load--chronos,physical,13,27.39434019194852
electricity_15min_load--chronos,physical,14,27.3935067993389
electricity_15min_load--chronos,physical,15,27.39627975099917
electricity_15min_load--chronos,physical,16,27.394595389609943
electricity_15min_load--chronos,physical,17,27.39554033019705
electricity_15min_load--chronos,physical,18,27.396232369033424
electricity_15min_load--chronos,physical,19,27.394353753537914
electricity_15min_load--chronos,physical,20,27.395047643925857
electricity_15min_load--chronos,physical,21,27.393992289334435
electricity_15min_load--chronos,physical,22,27.39473014515355
electricity_15min_load--chronos,physical,23,27.396179706728123
electricity_15min_load--chronos,physical,24,27.396547935632913
electricity_15min_load--chronos,physical,25,27.398008334858645
electricity_15min_load--chronos,physical,26,27.400194385240443
electricity_15min_load--chronos,physical,27,27.398071989267034
electricity_15min_load--chronos,physical,28,27.397338926569564
electricity_15min_load--chronos,physical,29,27.40001832437149
electricity_15min_load--chronos,physical,30,27.39829739704312
electricity_15min_load--chronos,physical,31,27.39740764766437
electricity_15min_load--chronos,physical,32,27.399997533195705
electricity_15min_load--chronos,physical,33,27.400637073299475
electricity_15min_load--chronos,physical,34,27.39966969126504
electricity_15min_load--chronos,physical,35,27.399908403134038
electricity_15min_load--chronos,physical,36,27.37588949280093
electricity_15min_load--chronos,physical,37,27.374434866273848
electricity_15min_load--chronos,physical,38,27.37286176736107
electricity_15min_load--chronos,physical,39,27.373764903167725
electricity_15min_load--chronos,physical,40,27.368873640087845
electricity_15min_load--chronos,physical,41,27.364418888995296
electricity_15min_load--chronos,physical,42,27.36537630516394
electricity_15min_load--chronos,physical,43,27.362056303858616
electricity_15min_load--chronos,physical,44,27.34993328798135
electricity_15min_load--chronos,physical,45,27.332173449676905
electricity_15min_load--chronos,physical,46,27.31209075595657
electricity_15min_load--chronos,physical,47,27.306785413909786
electricity_15min_load--flowstate,normalized,0,0.12320731329514964
electricity_15min_load--flowstate,normalized,1,0.12320669155654189
electricity_15min_load--flowstate,normalized,2,0.12328125698957486
electricity_15min_load--flowstate,normalized,3,0.12331059654439659
electricity_15min_load--flowstate,normalized,4,0.1233274106636473
electricity_15min_load--flowstate,normalized,5,0.12334688963220729
electricity_15min_load--flowstate,normalized,6,0.12335810423501077
electricity_15min_load--flowstate,normalized,7,0.12336097429543849
electricity_15min_load--flowstate,normalized,8,0.12337374129985769
electricity_15min_load--flowstate,normalized,9,0.12337395976827241
electricity_15min_load--flowstate,normalized,10,0.12338028913279542
