stratum,metric,mean,positive_cells,negative_cells,ci_low,ci_high,family_size
all,bounded_crps,0.20051159993866863,12,0,0.10408448843964202,0.3196095414322315,144
all,physical_crps,0.24831830343419273,12,0,0.11313745649208089,0.37756700481897437,144
all,bounded_is90,1.212437832330506,11,1,0.7548871371432255,1.7763131990351273,144
all,physical_is90,1.5321940576044837,11,1,0.9311869063371723,2.1341919886118217,144
all,original_crps,0.14237287906274285,11,1,0.04864503863897694,0.30156647224814076,144
all,original_is90,0.7851859966309679,10,2,0.3628096225434826,1.6668647537613073,144
low,bounded_crps,-0.0061918812544886626,4,8,-0.06225168348101184,0.09469271700060751,144
low,physical_crps,-0.010553565548413838,6,6,-0.0684805148315766,0.08918569386875538,144
low,bounded_is90,-0.00941086307616005,7,5,-0.21308093166960834,0.26185096804882746,144
low,physical_is90,0.03491930330580447,7,5,-0.17441492888859617,0.2951072500182758,144
low,original_crps,-0.02359816155653449,5,7,-0.0826650055786644,0.11640349289653139,144
low,original_is90,-0.14415148043849524,8,4,-0.36002418924242807,0.25345293364495725,144
middle,bounded_crps,0.01828150386075089,8,4,-0.07065861568332148,0.10539712299743859,144
middle,physical_crps,0.026669282555706147,8,4,-0.06625361884804483,0.1017582550832355,144
middle,bounded_is90,0.39574458262789286,9,3,0.0091023821287595,0.7474150587930601,144
middle,physical_is90,0.4427436073583526,10,2,0.049563387651802314,0.7719034640234904,144
middle,original_crps,0.008185498382123901,6,6,-0.19092507763293304,0.11990333392314667,144
middle,original_is90,0.19227979298445477,8,4,-0.26827213242914427,0.7719707673483323,144
high,bounded_crps,0.6569867842174523,12,0,0.4094879217887845,0.8870170078152099,144
high,physical_crps,0.6898063894946405,12,0,0.38246232381428874,0.9403827537801452,144
high,bounded_is90,3.5899881338118234,11,1,2.463982926586699,4.601574906174675,144
high,physical_is90,3.868405142225905,11,1,2.5404147577150025,4.9913461286052865,144
high,original_crps,0.5464791338292169,11,1,-0.007233950579933651,0.8584602029196051,144
high,original_is90,3.221321134864171,11,1,1.614320003821599,4.456211133848248,144
