cell,lag,positive_time_correlation_pairs,spearman_working_variance_vs_width,positive_variance_change_fraction,positive_width_change_fraction
ett1_15min_ot--chronos,1,13583,0.9409880929306448,0.9769564897298093,0.9587719944047707
ett1_15min_ot--chronos,2,13294,0.9414958136749157,0.9926282533473747,0.9848803971716563
ett1_15min_ot--chronos,4,12716,0.9481380436713301,0.9980339729474678,0.9949669707455174
ett1_15min_ot--chronos,8,11560,0.9520451484512095,0.9993079584775086,0.9981833910034602
ett1_15min_ot--chronos,12,10404,0.9500888734681525,0.9997116493656286,0.9984621299500193
jena_weather_10min_temperature--chronos,1,10105,0.8918911428864669,0.9935675408213754,0.953983176645225
jena_weather_10min_temperature--chronos,2,9890,0.9030083667419084,0.9991911021233569,0.9891809908998989
jena_weather_10min_temperature--chronos,4,9460,0.9204957922398422,0.9999999999999999,0.9973572938689217
jena_weather_10min_temperature--chronos,8,8600,0.9469128447733092,1.0,0.9997674418604652
jena_weather_10min_temperature--chronos,12,7740,0.9616176077371906,0.9999999999999999,0.9999999999999999
loop_seattle_5min_speed--chronos,1,39245,0.9406601206397969,0.5351764555994395,0.5226653076825073
loop_seattle_5min_speed--chronos,2,38410,0.9701490856724891,0.6015620932048946,0.5890393126789899
loop_seattle_5min_speed--chronos,4,36740,0.9835069927552925,0.600870985302123,0.5883505715841045
loop_seattle_5min_speed--chronos,8,33400,0.9868580031294525,0.5738023952095809,0.5666167664670658
loop_seattle_5min_speed--chronos,12,30060,0.9861679345810722,0.5730871590153027,0.5653027278775782
ett2_15min_ot--chronos,1,13207,0.9557855409805367,0.9158022260922237,0.9086847883698038
ett2_15min_ot--chronos,2,12926,0.9622638161062271,0.9450719480117592,0.9392696889989168
ett2_15min_ot--chronos,4,12364,0.9583661208815172,0.955596894208994,0.9530087350372048
ett2_15min_ot--chronos,8,11240,0.9414117056664163,0.9675266903914591,0.966725978647687
ett2_15min_ot--chronos,12,10116,0.919582728410025,0.9786476868327403,0.9780545670225386
electricity_15min_load--chronos,1,110638,0.9893762419240283,0.4037582024259296,0.4035141633073627
electricity_15min_load--chronos,2,108284,0.9908989218490875,0.48144693583539583,0.4810313619740682
electricity_15min_load--chronos,4,103576,0.9893673886326882,0.5586332741175561,0.5580926083262532
electricity_15min_load--chronos,8,94160,0.9838057048582465,0.7087085811384877,0.7072429906542056
electricity_15min_load--chronos,12,84744,0.9787151028111993,0.7843269139998112,0.7832530916643067
solar_10min_power--chronos,1,42112,0.9194297262838668,0.8237556990881459,0.8190302051671733
solar_10min_power--chronos,2,41216,0.9651774097262225,0.7121748835403726,0.7096758540372671
solar_10min_power--chronos,4,39424,0.9856048610480117,0.5251369724025975,0.5238940746753247
solar_10min_power--chronos,8,35840,0.9834247589617298,0.36275111607142857,0.36202566964285715
solar_10min_power--chronos,12,32256,0.9774330862881403,0.2983010912698413,0.2971850198412698
ett1_15min_ot--flowstate,1,13583,0.9743833503930174,0.7899580357800191,0.7527055878671869
ett1_15min_ot--flowstate,2,13294,0.9884593317366261,0.7171656386339702,0.7016699262825334
ett1_15min_ot--flowstate,4,12716,0.9909080536587973,0.6947153192827933,0.6879521862220824
ett1_15min_ot--flowstate,8,11560,0.9908987883306069,0.68780276816609,0.6848615916955018
ett1_15min_ot--flowstate,12,10404,0.9892827679997986,0.7051134179161861,0.703287197231834
jena_weather_10min_temperature--flowstate,1,10105,0.928800246901535,0.9999999999999999,0.7403265710044532
jena_weather_10min_temperature--flowstate,2,9890,0.9489240431544916,1.0,0.7896865520728008
jena_weather_10min_temperature--flowstate,4,9460,0.9644213800608434,0.9999999999999999,0.843446088794926
jena_weather_10min_temperature--flowstate,8,8600,0.9711871287863013,1.0,0.8843023255813954
jena_weather_10min_temperature--flowstate,12,7740,0.9716334925409976,0.9999999999999999,0.895219638242894
loop_seattle_5min_speed--flowstate,1,39245,0.9142275500905147,0.2942030831953115,0.23279398649509492
loop_seattle_5min_speed--flowstate,2,38410,0.9497780338812148,0.24662848216610259,0.2312418640978912
loop_seattle_5min_speed--flowstate,4,36740,0.9693136683282692,0.22427871529667937,0.2230811105062602
loop_seattle_5min_speed--flowstate,8,33400,0.9752827977979448,0.22535928143712575,0.22592814371257486
loop_seattle_5min_speed--flowstate,12,30060,0.9769835861891736,0.24424484364604124,0.245043246839654
ett2_15min_ot--flowstate,1,13207,0.9469563872589541,0.979934883016582,0.964715681078216
ett2_15min_ot--flowstate,2,12926,0.9561709779916303,0.9689772551446696,0.9606993656196812
ett2_15min_ot--flowstate,4,12364,0.9618392595873547,0.9588320931737303,0.9535748948560338
ett2_15min_ot--flowstate,8,11240,0.9587032891865434,0.9661032028469752,0.9626334519572954
ett2_15min_ot--flowstate,12,10116,0.9523550247977055,0.976769474100435,0.974298141557928
electricity_15min_load--flowstate,1,110638,0.9559262796066625,0.9999999999999999,0.9942695999566152
electricity_15min_load--flowstate,2,108284,0.9555512751979202,1.0,0.9956595618928005
electricity_15min_load--flowstate,4,103576,0.9543054299738334,1.0,0.9950567699080868
electricity_15min_load--flowstate,8,94160,0.9547484581724973,1.0,0.9935960067969414
electricity_15min_load--flowstate,12,84744,0.9508118863799402,1.0,0.992034834324554
solar_10min_power--flowstate,1,42112,0.8365990240501426,0.8931183510638298,0.598879179331307
solar_10min_power--flowstate,2,41216,0.8839325367741879,0.8330502717391304,0.6136937111801242
solar_10min_power--flowstate,4,39424,0.9065782500100799,0.7443181818181819,0.5969460227272728
solar_10min_power--flowstate,8,35840,0.8957781404196091,0.6682756696428571,0.5808872767857143
solar_10min_power--flowstate,12,32256,0.8730698078043954,0.6438802083333333,0.5797681051587301
